augmented_constrast_stretching_1,augmented_log_1,augmented_exponencial_1,augmented_laplaciano_1,augmented_media_1,normalized_constrast_stretching_1,normalized_log_1,normalized_exponencial_1,normalized_laplaciano_1,normalized_media_1,originalGray_1,augmented_constrast_stretching_2,augmented_log_2,augmented_exponencial_2,augmented_laplaciano_2,augmented_media_2,normalized_constrast_stretching_2,normalized_log_2,normalized_exponencial_2,normalized_laplaciano_2,normalized_media_2,originalGray_2,augmented_constrast_stretching_3,augmented_log_3,augmented_exponencial_3,augmented_laplaciano_3,augmented_media_3,normalized_constrast_stretching_3,normalized_log_3,normalized_exponencial_3,normalized_laplaciano_3,normalized_media_3,originalGray_3,augmented_constrast_stretching_4,augmented_log_4,augmented_exponencial_4,augmented_laplaciano_4,augmented_media_4,normalized_constrast_stretching_4,normalized_log_4,normalized_exponencial_4,normalized_laplaciano_4,normalized_media_4,originalGray_4
47343,4857,0,9459,56984,60521,60408,61168,31890,62947,76338,8458,63259,0,48,22974,11537,50410,64529,27776,54835,23646,17111,20654,0,918,49351,46656,67725,57106,31493,63875,51051,14934,47067,0,829,45198,49466,74194,60825,38268,62650,46867
51012,3245,0,9424,56847,59453,49514,59658,31989,62798,74787,22160,54046,0,39,22709,14896,54407,65100,29323,50385,22189,36532,17765,0,846,49322,42360,56936,58049,32223,63496,49625,29581,23871,0,765,45434,35149,60186,67916,38279,68060,45493
46974,7102,0,9066,55405,46423,46162,50225,33674,65986,72302,9333,69014,0,42,24486,32852,67823,48607,32253,72558,25769,20058,23978,0,828,47879,43643,63276,57551,32821,62924,46835,16451,36106,0,689,50331,44845,66727,63003,38308,62944,50292
53909,4245,0,9084,55292,57656,60915,60055,34776,59736,73510,35107,205025,0,51,19941,26091,103581,72206,34394,60952,18962,53463,43171,0,848,49085,44344,69462,78091,32791,65702,50234,42585,23905,0,701,49719,43084,48945,56498,38269,66124,50534
46253,4287,0,8695,53989,60697,43833,76944,34815,58403,72035,8780,84779,0,39,21960,22178,59754,39000,36962,83662,23867,17324,26389,0,767,50177,45929,56853,79722,32993,61661,49911,16869,23068,0,650,54064,43994,56856,52728,38222,64014,54934
45626,8038,0,8778,50254,61023,60451,77446,35899,70930,67908,10830,184802,0,28,20571,24389,87552,57767,40418,80701,19581,20251,43532,0,727,53292,45260,61528,57952,33991,67617,51899,16702,34690,0,649,54773,54869,48923,90439,38637,63904,53764
48976,5584,0,8601,63070,78404,71119,67740,37469,72642,85728,23938,77717,0,37,16993,28027,57273,104172,43756,82094,19371,30988,26058,0,700,63985,47583,84699,59186,34220,68754,70950,25746,23700,0,605,71022,45014,78106,75568,39218,64290,78992
43441,6371,0,8306,40490,47556,48641,53256,38770,57603,52164,8362,83584,0,33,8618,10674,39600,42071,46518,51636,6871,17204,27429,0,704,36793,34519,50456,48452,35004,57778,28051,13962,25816,0,616,40053,33218,48547,48474,39624,55246,29511
41267,10850,0,8164,42417,55178,50714,71210,39221,64124,63217,6529,204354,0,32,13913,18279,63084,53996,50389,53178,15208,13763,55722,0,648,44606,45611,61061,56694,35482,65075,48564,11087,34662,0,559,48221,46191,83911,48883,39795,66954,52087
47391,8036,0,7975,48171,50874,92092,49901,39746,59337,64233,20713,101877,0,31,9088,21813,38868,62371,55129,48819,8924,33313,31770,0,610,47626,47579,49287,65153,35997,60933,44414,26129,27197,0,525,53850,44537,74023,58591,40894,60921,49455
40889,14523,0,7846,45976,62791,95329,64407,41374,57959,66419,6528,206369,0,27,8086,32727,68326,51721,56561,54056,8141,14258,56040,0,620,46557,43912,54550,80783,36346,60638,49250,12464,36185,0,570,57519,36085,55488,81939,41519,65183,61755
47740,11206,0,7739,45794,51504,67879,55918,41898,65118,64139,21919,104770,0,34,8456,24903,59174,114674,59168,63877,9076,34460,36563,0,600,47546,42634,63819,60007,37032,62183,47363,29574,29740,0,552,55768,39895,68875,79970,42630,60892,54822
40954,16876,0,7613,43862,64339,68315,59836,48189,59804,61138,7232,199660,0,25,7339,17939,48369,49899,62461,65121,6511,16177,54415,0,551,46141,45689,63553,54584,37694,63372,46706,15900,30530,0,516,55747,47086,73984,53308,43418,64001,55688
46859,11955,0,7320,42975,55692,47583,84634,46898,65298,59701,25422,92186,0,25,9525,13435,64959,46727,66006,68470,10458,34039,37567,0,524,45870,41855,83016,64329,38671,62613,45201,29256,39930,0,472,52382,48790,77596,69491,44887,67086,52358
37926,18510,0,7068,42694,60215,62021,85411,50851,61457,58865,6362,88905,0,27,8212,17543,64499,34248,70756,70600,7582,14511,49847,0,540,45525,43893,79171,76673,39821,68520,46430,12437,33092,0,485,55875,45049,68234,54268,45970,61821,55912
44933,14379,0,7099,42661,49776,58604,76462,51634,65960,58433,21142,201317,0,31,9670,27601,51689,42516,73509,69006,10573,39195,36845,0,498,43389,43456,61822,53540,39849,62355,43481,30207,44583,0,470,56580,39356,47805,58476,48321,64549,56550
37287,14463,0,6871,42890,58305,59160,51466,51568,69094,58663,6603,98426,0,19,8238,15560,72058,59320,77101,64492,7488,14957,52816,0,462,44511,44408,59381,64020,41287,64307,46098,12435,36899,0,422,53984,44357,47897,66531,50220,63856,54510
46693,26229,0,6867,41812,54557,64754,56475,61306,70829,56228,23964,211949,0,24,9803,20963,50498,68067,83895,66592,9705,36533,36300,0,444,44895,41872,57564,65467,42114,66193,47141,31466,39772,0,432,54473,37042,68194,87737,53729,58468,54437
36379,18381,0,6635,44157,59644,49421,76145,63727,58110,58265,6918,116662,0,20,9189,15844,73693,63020,94196,62736,9594,17098,38502,0,453,44143,46316,48937,66721,44275,62152,44039,13092,53226,0,398,55168,52460,54178,47086,57091,65416,55459
54265,30072,0,6633,46937,47444,65442,61687,55394,59219,59537,37953,204884,0,20,9067,26292,76667,58409,84637,50333,9168,45267,58314,0,441,40698,40364,66617,68649,45519,66288,41991,44860,53495,0,372,59225,42119,59071,63936,60696,65320,58709
